x,y
-3300747.2069313936,248358.23367650664
-3301199.2560535516,248415.46424725014
-3301645.7752867076,248482.066100304
-3302084.051537056,248550.30670001375
-3302513.684566809,248612.30145423804
-3302940.1543669393,248669.80939767972
-3303366.9958039857,248726.8909763851
-3303795.5592262913,248788.64520498252
-3304236.509000144,248863.66145718584
-3304697.7832188327,248960.98631942607
-3305163.4290629406,249081.88396439064
-3305620.317865344,249271.14517510703
-3306062.8313390287,249569.24043064305
-3306522.286837333,249970.37405889845
-3306973.8800375615,250413.32742814827
-3307337.765679439,250940.68428890087
-3307591.971582487,251492.4648227568
-3307760.345804037,251965.5225664336
-3307865.2795947567,252331.68114005393
-3307947.9378549773,252654.00712409161
-3308021.2833801378,252961.76637584882
-3308089.382829004,253261.44852630934
-3308153.833188571,253556.55148612903
-3308221.17992118,253851.77631991688
-3308290.8928575846,254145.2128147841
-3308364.1855213232,254439.79113751533
-3308440.800225831,254741.50111331634
-3308527.3248789124,255054.89292521353
-3308625.8127631773,255373.43347674195
-3308726.4804165307,255690.35822660997
-3308830.095444237,256003.0775614064
-3308940.7035095654,256310.1248916983
-3309055.7902369294,256611.00435705858
-3309175.2436918244,256910.58495280152
-3309301.3977436833,257216.88069862718
-3309435.6672324026,257528.3436669962
-3309578.9591591214,257840.264331117
-3309734.0503489203,258148.59171335996
-3309898.5072913263,258444.97750291842
-3310072.456612393,258729.67445146263
-3310273.841917289,259011.1619219517
-3310509.458778956,259286.92786061513
-3310776.688603327,259560.39111507806
-3311078.106938661,259826.81247688475
-3311381.3735103155,260086.4937660167
-3311682.5019032466,260347.90875685032
-3311976.784800153,260603.40897775075
-3312262.624098757,260852.82926334374
-3312549.980701019,261096.11563838043
