X,Y,fid,cngmeters
-3313121.5713822,262837.451264738,"-9",0
-3313076.57695381,262748.145601908,"-9",100
-3313031.58252541,262658.839939079,"-9",200
-3312986.58809702,262569.534276249,"-9",300
-3312941.59366862,262480.22861342,"-9",400
-3312896.59924023,262390.922950591,"-9",500
-3312851.60481183,262301.617287761,"-9",600
-3312806.61038344,262212.311624932,"-9",700
-3312761.61595504,262123.005962102,"-9",800
-3312716.62152665,262033.700299273,"-9",900
-3312671.62709825,261944.394636443,"-9",1000
-3312626.63266986,261855.088973614,"-9",1100
-3312581.63824146,261765.783310784,"-9",1200
-3312536.64381307,261676.477647955,"-9",1300
-3312491.64938467,261587.171985126,"-9",1400
-3312446.65495628,261497.866322296,"-9",1500
-3312401.66052788,261408.560659467,"-9",1600
-3312356.66609949,261319.254996637,"-9",1700
-3312311.67167109,261229.949333808,"-9",1800
-3312266.6772427,261140.643670978,"-9",1900
-3312221.6828143,261051.338008149,"-9",2000
-3312176.68838591,260962.032345319,"-9",2100
-3312131.69395751,260872.72668249,"-9",2200
-3312086.69952912,260783.42101966,"-9",2300
-3312041.70510072,260694.115356831,"-9",2400
-3311996.71067233,260604.809694002,"-9",2500
-3311951.71624393,260515.504031172,"-9",2600
-3311906.72181554,260426.198368343,"-9",2700
-3311861.72738714,260336.892705513,"-9",2800
-3311816.73295875,260247.587042684,"-9",2900
-3311771.73853035,260158.281379854,"-9",3000
-3311726.74410196,260068.975717025,"-9",3100
-3311681.74967356,259979.670054195,"-9",3200
-3311636.75524517,259890.364391366,"-9",3300
-3311591.76081677,259801.058728537,"-9",3400
-3311546.76638838,259711.753065707,"-9",3500
-3311501.77195998,259622.447402878,"-9",3600
-3311456.77753159,259533.141740048,"-9",3700
-3311411.78310319,259443.836077219,"-9",3800
-3311366.7886748,259354.530414389,"-9",3900
-3311321.7942464,259265.22475156,"-9",4000
-3311276.79981801,259175.91908873,"-9",4100
-3311231.80538961,259086.613425901,"-9",4200
-3311186.81096122,258997.307763071,"-9",4300
-3311141.81653282,258908.002100242,"-9",4400
